Date : 2026-05-23 21:15:30
Directory : /home/dev/TFG/src
Total : 157 files,  14719 codes, 1139 comments, 1764 blanks, all 17622 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
| /home/dev/TFG/src/features/parking/components/detail/ParkingOwnerPanel.tsx      | TypeScript JSX |         95 |         10 |         12 |        117 |
| /home/dev/TFG/src/features/parking/components/detail/ParkingReviews.tsx         | TypeScript JSX |         71 |          0 |          6 |         77 |
| /home/dev/TFG/src/features/parking/context/FilterContext.tsx                    | TypeScript JSX |        103 |          1 |         16 |        120 |
| /home/dev/TFG/src/features/parking/hooks/useGarageReviews.ts                    | TypeScript     |         13 |          0 |          2 |         15 |
| /home/dev/TFG/src/features/parking/hooks/useGarages.ts                          | TypeScript     |         11 |          0 |          2 |         13 |
| /home/dev/TFG/src/features/parking/hooks/useParkingSpot.ts                      | TypeScript     |         14 |          0 |          2 |         16 |
| /home/dev/TFG/src/features/parking/index.ts                                     | TypeScript     |         14 |          8 |          6 |         28 |
| /home/dev/TFG/src/features/parking/services/parking.dal.ts                      | TypeScript     |        251 |         35 |         46 |        332 |
| /home/dev/TFG/src/features/parking/services/parking.service.ts                  | TypeScript     |        253 |         42 |         33 |        328 |
| /home/dev/TFG/src/features/parking/types/parking.types.ts                       | TypeScript     |         86 |          3 |          7 |         96 |
| /home/dev/TFG/src/features/parking/utils/mapUtils.ts                            | TypeScript     |         36 |          1 |          5 |         42 |
| /home/dev/TFG/src/features/parking/utils/parkingFilters.ts                      | TypeScript     |         61 |          7 |         15 |         83 |
| /home/dev/TFG/src/features/parking/utils/schedule.utils.ts                      | TypeScript     |         25 |          0 |          8 |         33 |
| /home/dev/TFG/src/features/profile/components/AvatarUploader.tsx                | TypeScript JSX |         77 |          4 |         14 |         95 |
| /home/dev/TFG/src/features/profile/components/GarageImageUploader.tsx           | TypeScript JSX |        124 |          8 |         20 |        152 |
| /home/dev/TFG/src/features/profile/components/OwnerProfile.tsx                  | TypeScript JSX |        217 |          8 |         22 |        247 |
| /home/dev/TFG/src/features/profile/components/UserProfile.tsx                   | TypeScript JSX |        147 |          8 |         20 |        175 |
| /home/dev/TFG/src/features/profile/components/owner/AddSpotForm.tsx             | TypeScript JSX |        289 |          5 |         26 |        320 |
| /home/dev/TFG/src/features/profile/components/owner/AddSpotToGarageModal.tsx    | TypeScript JSX |        137 |          0 |         13 |        150 |
| /home/dev/TFG/src/features/profile/components/owner/EditGarageModal.tsx         | TypeScript JSX |        341 |          2 |         24 |        367 |
| /home/dev/TFG/src/features/profile/components/owner/ManagedGarages.tsx          | TypeScript JSX |        321 |          6 |         21 |        348 |
| /home/dev/TFG/src/features/profile/components/owner/OwnerBookingsTab.tsx        | TypeScript JSX |        209 |         18 |         28 |        255 |
| /home/dev/TFG/src/features/profile/components/owner/OwnerDashboardTab.tsx       | TypeScript JSX |         48 |          4 |          7 |         59 |
| /home/dev/TFG/src/features/profile/components/owner/OwnerReviewsTab.tsx         | TypeScript JSX |        143 |          4 |         14 |        161 |
| /home/dev/TFG/src/features/profile/components/owner/OwnerStatsRow.tsx           | TypeScript JSX |         46 |          0 |          4 |         50 |
| /home/dev/TFG/src/features/profile/components/owner/SpotFavoritesUsers.tsx      | TypeScript JSX |         13 |          1 |          4 |         18 |
| /home/dev/TFG/src/features/profile/components/owner/SpotScheduleEditor.tsx      | TypeScript JSX |        163 |          6 |         19 |        188 |
